timestamp,frame_index,fps,event_avg_ms,event_p95_ms,frame_avg_ms,frame_p95_ms,update_avg_ms,update_p95_ms,render_avg_ms,render_p95_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1774616273.745,1,50,207.108,207.108,5956.343,5956.343,5742.344,5742.344,6.890,6.890,0.057,5739.826,2.225,0.098,0.113,0.014
1774616279.750,50,50,4.188,0.156,230.822,313.617,219.226,305.364,7.407,8.826,0.073,216.227,2.438,0.035,0.432,0.009
1774616288.260,80,50,2.632,0.266,247.454,1961.985,237.315,1952.475,7.505,9.163,0.073,234.314,2.446,0.035,0.425,0.009
1774616294.500,122,50,1.736,0.156,210.545,313.617,201.191,305.364,7.617,9.329,0.072,198.193,2.467,0.035,0.401,0.009
1774616300.961,215,50,0.995,0.102,145.840,260.163,137.180,252.221,7.663,9.282,0.072,134.340,2.356,0.035,0.355,0.009
1774616305.978,284,50,0.760,0.093,125.998,246.144,117.538,238.498,7.699,9.455,0.072,114.718,2.360,0.035,0.332,0.009
1774616311.248,376,50,0.579,0.070,107.091,209.693,98.802,198.621,7.708,9.611,0.072,95.989,2.371,0.034,0.314,0.009
1774616316.260,439,50,0.507,0.156,101.929,149.752,93.684,140.129,7.737,9.675,0.072,90.872,2.378,0.034,0.305,0.009
1774616321.281,439,50,0.397,0.379,68.458,37.639,60.128,29.432,7.931,10.165,0.071,65.255,2.307,0.033,0.225,0.009
1774616326.283,439,50,0.300,0.355,52.732,34.064,44.319,26.029,8.111,10.740,0.070,53.186,2.274,0.032,0.188,0.008
1774616331.310,439,50,0.241,0.320,43.510,31.499,35.063,23.798,8.204,11.105,0.069,46.119,2.254,0.031,0.166,0.008
1774616336.323,439,50,0.204,0.311,37.612,21.947,29.026,3.618,8.380,12.135,0.069,41.510,2.241,0.031,0.151,0.008
1774616341.332,439,50,0.177,0.279,33.490,18.896,24.762,3.415,8.549,13.012,0.069,38.255,2.232,0.031,0.141,0.008
1774616346.350,439,50,0.157,0.179,30.352,19.333,21.579,3.306,8.613,13.207,0.068,35.825,2.225,0.031,0.134,0.008
1774616351.364,439,50,0.142,0.151,27.972,20.065,19.140,3.225,8.689,13.646,0.068,33.963,2.220,0.031,0.128,0.008
1774616356.382,439,50,0.130,0.102,26.119,20.621,17.210,3.154,8.778,14.185,0.068,32.490,2.216,0.031,0.123,0.008
1774616361.389,439,50,0.120,0.080,24.628,20.988,15.645,3.092,8.861,14.535,0.068,31.295,2.213,0.030,0.120,0.008
1774616366.401,439,50,0.111,0.067,23.371,21.539,14.337,3.058,8.921,15.110,0.068,30.296,2.210,0.030,0.116,0.008
1774616371.423,439,50,0.104,0.060,22.353,22.130,13.243,3.027,9.004,15.731,0.068,29.461,2.208,0.030,0.114,0.008
1774616376.443,439,50,0.098,0.055,21.469,22.615,12.304,2.967,9.064,16.151,0.068,28.745,2.206,0.030,0.112,0.008
1774616381.458,439,50,0.093,0.052,20.751,23.729,11.503,2.941,9.153,18.045,0.068,28.133,2.204,0.030,0.110,0.008
1774616386.478,439,50,0.089,0.048,20.120,24.287,10.799,2.912,9.230,18.853,0.068,27.596,2.202,0.030,0.108,0.008
1774616391.525,439,50,0.085,0.047,19.569,24.920,10.182,2.896,9.300,19.300,0.068,27.124,2.201,0.030,0.107,0.008
1774616396.538,439,50,0.082,0.046,19.099,25.506,9.638,2.868,9.377,20.230,0.068,26.709,2.200,0.030,0.105,0.008
1774616401.555,439,50,0.079,0.046,18.693,25.903,9.154,2.826,9.459,20.612,0.068,26.339,2.199,0.030,0.104,0.008
1774616406.567,439,50,0.076,0.045,18.323,26.367,8.717,2.798,9.528,21.091,0.068,26.006,2.198,0.030,0.103,0.008
1774616411.582,439,50,0.073,0.044,17.987,27.050,8.321,2.771,9.591,21.592,0.068,25.703,2.197,0.030,0.102,0.008
1774616416.602,439,50,0.071,0.044,17.671,27.659,7.957,2.756,9.641,22.300,0.068,25.426,2.196,0.030,0.101,0.008
1774616421.614,439,50,0.069,0.043,17.388,28.208,7.627,2.740,9.691,22.911,0.068,25.173,2.196,0.030,0.100,0.008
1774616426.627,439,50,0.067,0.043,17.146,28.756,7.328,2.717,9.749,23.922,0.068,24.945,2.195,0.030,0.100,0.008
1774616431.640,439,50,0.065,0.043,16.971,29.775,7.060,2.700,9.844,24.626,0.068,24.741,2.194,0.030,0.099,0.008
1774616436.655,439,50,0.064,0.042,16.797,30.416,6.810,2.683,9.922,24.938,0.068,24.550,2.194,0.030,0.098,0.008
1774616441.660,439,50,0.062,0.043,16.646,31.264,6.580,2.662,10.002,25.747,0.068,24.375,2.193,0.030,0.098,0.008
