frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.020,240.034,4.999,7.846,252.882,0.073,0.728,3.788,0.173,0.189,0.016
2,0.040,0.899,25.570,9.017,35.487,0.050,22.283,2.196,0.033,0.952,0.018
3,0.060,0.208,21.965,7.001,29.174,0.049,19.580,2.182,0.026,0.092,0.009
4,0.080,0.012,22.750,6.613,29.375,0.044,19.996,2.156,0.028,0.493,0.011
5,0.100,0.019,2.736,7.399,10.155,0.057,0.063,2.363,0.090,0.120,0.011
6,0.120,0.030,27.640,9.768,37.442,0.054,24.521,2.308,0.040,0.670,0.018
7,0.140,0.020,82.741,10.686,93.448,0.060,78.943,3.499,0.042,0.144,0.013
8,0.160,0.036,1921.277,9.591,1930.905,0.055,1918.256,2.212,0.036,0.672,0.013
9,0.180,8.194,131.315,11.356,150.865,0.050,127.210,3.789,0.060,0.151,0.019
10,0.200,0.459,3.572,8.166,12.197,0.053,0.069,2.358,0.095,0.941,0.015
11,0.220,0.423,24.416,8.389,33.230,0.057,21.378,2.806,0.033,0.104,0.012
12,0.240,0.431,21.914,8.923,31.269,0.055,18.586,2.350,0.030,0.851,0.012
13,0.260,0.030,19.058,7.505,26.593,0.053,16.547,2.285,0.032,0.098,0.010
14,0.280,0.411,3.825,8.458,12.695,0.045,0.519,2.246,0.037,0.917,0.030
15,0.300,0.416,22.800,7.821,31.038,0.058,20.318,2.173,0.094,0.115,0.012
16,0.320,0.509,1842.020,8.330,1850.860,0.060,1838.931,2.229,0.035,0.722,0.011
17,0.340,0.726,105.800,8.542,115.069,0.053,103.357,2.202,0.032,0.096,0.011
18,0.360,0.029,3.397,7.369,10.796,0.056,0.067,2.318,0.028,0.874,0.012
19,0.380,0.016,28.262,8.351,36.631,0.057,24.436,3.471,0.125,0.129,0.013
20,0.400,0.028,20.909,7.407,28.344,0.056,17.520,2.441,0.032,0.820,0.013
21,0.420,0.010,28.271,9.169,37.450,0.045,25.709,2.339,0.037,0.106,0.012
22,0.440,0.016,3.383,7.571,10.971,0.057,0.064,2.343,0.027,0.850,0.011
23,0.460,0.037,24.448,8.809,33.297,0.055,21.145,3.017,0.088,0.102,0.011
24,0.480,0.018,1837.384,7.932,1845.335,0.060,1834.203,2.285,0.053,0.734,0.013
25,0.500,0.242,94.597,7.816,102.655,0.059,91.725,2.576,0.046,0.134,0.015
26,0.520,0.039,3.674,7.846,11.559,0.060,0.077,2.548,0.033,0.889,0.016
27,0.540,0.024,21.778,7.722,29.528,0.079,19.207,2.240,0.092,0.099,0.011
28,0.560,0.014,16.970,7.561,24.546,0.051,13.836,2.216,0.031,0.794,0.012
29,0.580,0.015,14.724,7.889,22.629,0.054,12.222,2.223,0.028,0.135,0.019
30,0.600,0.044,3.449,7.807,11.301,0.068,0.066,2.366,0.028,0.861,0.014
31,0.620,0.019,20.045,7.798,27.865,0.072,17.164,2.558,0.099,0.103,0.012
32,0.640,0.016,1608.364,8.731,1617.112,0.063,1603.856,3.343,0.052,1.000,0.016
33,0.660,0.205,89.841,8.351,98.398,0.053,87.307,2.277,0.039,0.105,0.012
34,0.680,0.033,3.369,7.793,11.196,0.057,0.070,2.316,0.028,0.839,0.014
35,0.700,0.019,19.926,7.283,27.230,0.061,17.136,2.464,0.098,0.122,0.013
36,0.720,0.014,14.482,7.097,21.594,0.058,11.401,2.207,0.028,0.747,0.012
37,0.740,0.012,13.424,8.496,21.933,0.055,10.964,2.235,0.031,0.101,0.012
38,0.760,0.028,3.534,7.328,10.890,0.054,0.051,2.520,0.032,0.839,0.012
39,0.780,0.017,18.206,7.567,25.792,0.060,15.666,2.239,0.089,0.110,0.013
40,0.800,0.012,1571.065,9.951,1581.029,0.054,1567.954,2.278,0.039,0.694,0.012
41,0.820,8.282,89.407,12.146,109.837,0.050,86.896,2.254,0.038,0.111,0.013
42,0.840,7.443,3.517,8.141,19.103,0.058,0.070,2.406,0.034,0.881,0.015
43,0.860,1.226,21.468,8.185,30.882,0.061,18.886,2.288,0.089,0.099,0.011
44,0.880,16.837,16.718,12.797,46.353,0.069,11.161,4.060,0.043,1.313,0.022
45,0.900,2.449,20.907,12.884,36.244,0.113,15.859,4.509,0.056,0.227,0.021
46,0.920,0.862,6.675,16.401,23.941,0.099,0.101,4.740,0.057,1.606,0.019
47,0.940,0.024,29.892,12.506,42.424,0.114,24.728,4.640,0.168,0.173,0.016
48,0.960,8.686,1641.989,10.041,1660.720,0.100,1637.007,3.584,0.061,1.163,0.013
49,0.980,2.376,82.668,8.050,93.096,0.063,80.162,2.234,0.034,0.099,0.012
50,1.000,0.013,4.189,9.803,14.005,0.048,0.061,3.002,0.047,0.980,0.012
51,1.020,0.016,22.729,9.493,32.240,0.068,19.806,2.599,0.046,0.161,0.018
52,1.040,0.037,13.696,9.141,22.875,0.060,10.093,2.520,0.159,0.810,0.016
53,1.060,0.014,10.515,7.788,18.317,0.066,7.965,2.285,0.035,0.114,0.014
54,1.080,0.018,4.677,8.917,13.613,0.056,0.056,3.102,0.045,1.361,0.015
55,1.100,0.016,14.488,8.123,22.629,0.060,11.993,2.258,0.028,0.110,0.011
56,1.120,0.028,1229.684,8.284,1237.997,0.059,1226.535,2.249,0.092,0.693,0.015
57,1.140,0.252,79.664,6.976,86.893,0.059,77.176,2.238,0.031,0.094,0.011
58,1.160,0.031,3.498,7.354,10.883,0.052,0.065,2.481,0.027,0.827,0.012
59,1.180,0.023,18.441,8.618,27.085,0.071,15.677,2.498,0.033,0.100,0.012
60,1.200,0.012,11.005,7.349,18.367,0.055,7.857,2.191,0.086,0.778,0.011
61,1.220,0.015,11.213,8.160,19.389,0.056,7.800,3.171,0.034,0.106,0.013
62,1.240,0.031,3.331,7.377,10.740,0.054,0.051,2.320,0.033,0.834,0.012
63,1.260,0.015,14.234,9.424,23.676,0.056,11.711,2.304,0.028,0.097,0.010
64,1.280,0.018,1171.937,8.265,1180.220,0.066,1168.753,2.277,0.092,0.704,0.012
65,1.300,0.027,73.846,8.027,81.901,0.051,71.393,2.212,0.033,0.113,0.013
66,1.320,0.011,3.647,7.490,11.148,0.044,0.488,2.231,0.030,0.814,0.012
67,1.340,0.041,17.281,7.140,24.465,0.060,14.847,2.204,0.029,0.097,0.013
68,1.360,0.015,9.579,7.194,16.789,0.060,6.471,2.197,0.088,0.723,0.010
69,1.380,0.016,9.152,7.717,16.886,0.062,6.653,2.260,0.029,0.098,0.010
70,1.400,0.013,3.506,9.454,12.974,0.053,0.051,2.452,0.034,0.876,0.012
71,1.420,0.016,10.404,7.625,18.047,0.061,7.981,2.201,0.027,0.095,0.010
72,1.440,0.020,1075.011,8.437,1083.469,0.055,1071.856,2.277,0.092,0.688,0.011
73,1.460,0.206,68.415,7.991,76.612,0.049,65.888,2.300,0.035,0.100,0.012
74,1.480,0.013,3.619,9.998,13.631,0.048,0.060,2.465,0.031,0.960,0.012
75,1.500,0.015,17.178,7.489,24.685,0.072,14.712,2.207,0.027,0.117,0.011
76,1.520,0.038,1692.037,7.877,1699.954,0.065,1688.837,2.222,0.095,0.773,0.011
77,1.540,0.251,1685.435,8.769,1694.455,0.056,1682.997,2.186,0.038,0.109,0.013
78,1.560,0.035,3.595,7.807,11.437,0.053,0.363,2.275,0.028,0.830,0.010
79,1.580,0.023,10.041,7.615,17.682,0.061,7.532,2.274,0.028,0.098,0.011
80,1.600,0.019,57.360,7.916,65.296,0.059,54.071,2.300,0.107,0.767,0.013
81,1.620,0.026,67.669,8.184,75.879,0.052,65.089,2.318,0.040,0.110,0.016
82,1.640,0.015,3.381,8.530,11.925,0.054,0.064,2.316,0.027,0.862,0.014
83,1.660,0.021,16.154,7.644,23.822,0.061,13.657,2.272,0.027,0.094,0.010
84,1.680,0.026,12.651,8.640,21.317,0.056,9.156,2.510,0.094,0.796,0.012
85,1.700,0.013,11.076,8.111,19.200,0.057,8.572,2.262,0.035,0.112,0.011
86,1.720,0.019,3.530,9.399,12.949,0.061,0.058,2.450,0.032,0.879,0.014
87,1.740,0.017,2666.007,10.245,2676.272,0.061,2663.491,2.284,0.034,0.097,0.011
88,1.760,0.222,53.817,9.422,63.462,0.050,50.676,2.239,0.098,0.709,0.012
89,1.780,0.014,64.440,7.874,72.328,0.066,61.935,2.257,0.033,0.096,0.010
90,1.800,0.035,3.723,7.359,11.117,0.056,0.065,2.669,0.034,0.848,0.011
91,1.820,0.016,15.581,7.713,23.313,0.066,13.094,2.242,0.030,0.107,0.012
92,1.840,0.017,11.551,7.491,19.059,0.055,8.279,2.243,0.088,0.841,0.012
93,1.860,0.022,11.545,7.219,18.788,0.057,8.913,2.382,0.038,0.103,0.012
94,1.880,0.017,3.388,7.120,10.527,0.070,0.068,2.359,0.028,0.815,0.011
95,1.900,0.019,11.138,7.953,19.114,0.065,8.686,2.205,0.032,0.107,0.010
96,1.920,0.016,2343.273,8.405,2351.694,0.100,2340.100,2.254,0.096,0.674,0.011
97,1.940,0.223,58.004,7.989,66.215,0.054,55.509,2.234,0.042,0.112,0.014
98,1.960,0.018,3.300,8.028,11.347,0.067,0.062,2.273,0.029,0.801,0.010
99,1.980,0.019,14.892,7.534,22.448,0.063,12.405,2.243,0.031,0.103,0.012
100,2.000,0.035,11.165,8.598,19.798,0.066,7.908,2.222,0.097,0.823,0.014
101,2.020,0.015,11.156,7.711,18.883,0.064,8.698,2.210,0.036,0.102,0.013
102,2.040,0.016,3.296,9.184,12.497,0.057,0.065,2.288,0.026,0.814,0.011
103,2.060,0.017,11.002,8.554,19.576,0.061,8.511,2.218,0.047,0.120,0.014
104,2.080,0.020,54.346,8.175,62.544,0.073,51.168,2.230,0.094,0.707,0.012
105,2.100,0.120,124.840,7.460,132.421,0.055,122.328,2.256,0.039,0.110,0.012
106,2.120,0.079,3.517,7.395,10.991,0.055,0.073,2.468,0.036,0.832,0.013
107,2.140,0.017,29.171,7.261,36.450,0.062,26.720,2.226,0.027,0.094,0.010
108,2.160,0.029,10.964,7.336,18.330,0.051,7.758,2.242,0.091,0.783,0.012
109,2.180,0.017,11.022,7.227,18.267,0.065,8.549,2.229,0.033,0.092,0.010
110,2.200,0.028,3.591,7.245,10.866,0.078,0.079,2.521,0.029,0.815,0.010
111,2.220,0.018,11.101,8.021,19.144,0.066,8.592,2.270,0.035,0.097,0.010
112,2.240,0.013,45.687,8.262,53.962,0.058,42.152,2.529,0.102,0.797,0.017
113,2.260,0.030,107.699,7.225,114.954,0.056,105.158,2.284,0.039,0.102,0.015
114,2.280,0.040,3.374,7.317,10.731,0.065,0.088,2.320,0.032,0.802,0.011
115,2.300,0.019,24.367,7.825,32.214,0.058,21.854,2.272,0.028,0.109,0.011
116,2.320,0.013,11.164,7.368,18.545,0.057,7.768,2.397,0.096,0.799,0.012
117,2.340,0.033,11.366,9.147,20.547,0.055,8.475,2.618,0.045,0.128,0.014
118,2.360,0.013,3.750,7.825,11.589,0.053,0.564,2.265,0.028,0.794,0.016
119,2.380,0.017,11.013,6.878,17.910,0.065,8.569,2.208,0.032,0.095,0.011
120,2.400,0.019,43.281,7.270,50.573,0.065,39.374,2.868,0.102,0.819,0.012
121,2.420,0.034,107.774,7.937,115.745,0.056,105.114,2.389,0.045,0.113,0.013
122,2.440,0.036,3.211,6.961,10.208,0.055,0.068,2.241,0.028,0.762,0.011
123,2.460,0.020,20.091,8.620,28.735,0.066,17.646,2.205,0.028,0.098,0.011
124,2.480,0.017,10.496,8.065,18.577,0.055,7.265,2.255,0.095,0.778,0.011
125,2.500,0.023,10.183,7.924,18.132,0.058,7.688,2.242,0.034,0.112,0.010
126,2.520,0.026,3.969,7.868,11.868,0.082,0.078,2.898,0.034,0.800,0.015
127,2.540,0.040,15.798,12.462,28.302,0.066,13.006,2.526,0.043,0.109,0.013
128,2.560,0.018,42.505,9.204,51.728,0.064,39.285,2.298,0.107,0.696,0.012
129,2.580,0.013,95.860,7.460,103.333,0.053,93.398,2.230,0.036,0.095,0.011
130,2.600,0.029,3.443,8.361,11.834,0.051,0.066,2.412,0.033,0.835,0.012
131,2.620,0.033,20.124,7.457,27.615,0.062,17.652,2.240,0.029,0.098,0.012
132,2.640,0.012,1225.212,8.874,1234.099,0.053,1221.870,2.341,0.103,0.803,0.014
133,2.660,0.197,11.102,10.477,21.776,0.048,8.252,2.594,0.046,0.118,0.012
134,2.680,0.012,3.442,7.266,10.720,0.058,0.053,2.448,0.029,0.808,0.012
135,2.700,0.037,12.112,8.417,20.569,0.063,9.112,2.717,0.042,0.135,0.013
136,2.720,0.012,46.900,8.721,55.633,0.046,43.004,2.821,0.119,0.873,0.013
137,2.740,0.012,102.930,7.266,110.209,0.056,100.483,2.206,0.038,0.097,0.011
138,2.760,0.030,3.498,8.100,11.628,0.054,0.071,2.407,0.029,0.885,0.014
139,2.780,0.015,19.120,9.172,28.309,0.058,16.651,2.226,0.030,0.113,0.012
140,2.800,0.029,1176.035,11.632,1187.697,0.048,1172.786,2.216,0.093,0.855,0.013
141,2.820,0.070,1112.959,11.269,1124.299,0.050,1110.068,2.618,0.044,0.134,0.014
142,2.840,0.886,4.292,11.051,16.230,0.057,0.234,2.827,0.037,1.086,0.017
143,2.860,0.422,1080.021,10.313,1090.759,0.063,1077.548,2.227,0.035,0.109,0.012
144,2.880,0.415,2913.565,10.530,2924.511,0.049,2910.271,2.277,0.103,0.822,0.014
145,2.900,0.725,90.699,11.055,102.481,0.053,88.194,2.229,0.038,0.122,0.012
146,2.920,0.027,3.386,8.307,11.721,0.052,0.063,2.329,0.028,0.867,0.011
147,2.940,0.019,17.226,8.339,25.587,0.074,14.671,2.293,0.029,0.108,0.011
