frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.021,388.756,33.661,6.989,429.406,0.069,1.616,31.271,0.507,0.143,0.027
2,0.121,0.732,24.175,11.291,36.199,0.075,0.079,23.024,0.035,0.924,0.014
3,0.157,0.201,24.097,7.844,32.142,0.063,0.720,23.119,0.038,0.118,0.014
4,0.190,0.010,23.401,7.508,30.920,0.052,0.064,22.846,0.031,0.377,0.014
5,0.221,0.018,23.524,7.722,31.265,0.051,0.060,23.200,0.043,0.139,0.013
6,0.252,0.009,23.368,7.848,31.225,0.048,0.059,22.838,0.028,0.366,0.013
7,0.283,0.010,23.782,7.783,31.575,0.062,0.724,22.812,0.032,0.117,0.015
8,0.315,0.019,23.612,7.615,31.246,0.058,0.064,23.070,0.029,0.361,0.012
9,0.346,0.009,23.232,7.861,31.102,0.048,0.060,22.913,0.062,0.120,0.013
10,0.377,0.009,23.344,8.040,31.393,0.065,0.070,22.767,0.031,0.374,0.014
11,0.408,0.010,24.132,7.697,31.839,0.058,0.756,23.099,0.049,0.138,0.013
12,0.440,0.182,23.385,7.713,31.282,0.053,0.063,22.840,0.031,0.368,0.013
13,0.472,0.452,23.187,7.539,31.179,0.054,0.062,22.896,0.031,0.115,0.014
14,0.503,0.387,23.551,7.793,31.731,0.051,0.066,22.994,0.030,0.379,0.013
15,0.535,0.340,285.923,10.266,296.529,0.053,259.350,26.332,0.034,0.115,0.021
16,0.635,0.533,36.895,8.497,45.926,0.057,0.070,36.245,0.031,0.455,0.016
17,0.681,0.313,30.187,7.998,38.499,0.059,0.068,29.566,0.032,0.427,0.014
18,0.720,0.604,28.538,8.335,37.478,0.054,0.064,28.212,0.035,0.139,0.015
19,0.757,0.435,29.110,8.214,37.760,0.063,0.071,28.467,0.032,0.440,0.014
20,0.795,0.449,28.865,8.146,37.461,0.055,0.063,28.567,0.030,0.116,0.013
21,0.832,0.655,28.509,8.499,37.664,0.054,0.062,27.868,0.035,0.458,0.014
22,0.870,0.341,81.310,8.568,90.219,0.059,49.201,31.877,0.029,0.112,0.013
23,0.960,0.818,49.985,9.111,59.914,0.063,0.072,49.286,0.031,0.492,0.014
24,1.020,0.304,39.898,9.263,49.466,0.084,0.067,39.203,0.030,0.483,0.014
